Region,Data item,2019,2020,2021,2022,2023
New South Wales,Total disposals,4354396328,4869694409,4698392170,5503862366,5368350388
New South Wales,Cattle disposals - Local value ($),2374033834,2528234298,2543005865,3098108875,3110414280
New South Wales,Sheep disposals - Local value ($),1015933300,1264329609,1160902985,1366892371,1190933864
New South Wales,Pig disposals - Local value ($),186613410,238453721,230103181,209668693,224649158
New South Wales,Poultry disposals - Local value ($),771410878,828717883,756990892,821634794,831461516
New South Wales,All other livestock n.e.c. disposals - Local value ($) ,6404906,9958898,7389247,7557633,10891570
Victoria,Total disposals,4812935747,5702514623,5168904182,5902536589,6070638257
Victoria,Cattle disposals - Local value ($),2160656254,2668859192,2379458312,2724371211,2729694628
Victoria,Sheep disposals - Local value ($),1756416718,2030478444,1736087739,1976662965,1866876122
Victoria,Pig disposals - Local value ($),249052472,334166904,305875860,304643591,325979529
Victoria,Poultry disposals - Local value ($),576925941,572868444,661343932,773055171,1057394666
Victoria,All other livestock n.e.c. disposals - Local value ($) ,69884362,96141639,86138339,123803651,90693312
Queensland,Total disposals,6200178501,6963998501,6378517808,7406747022,7204853814
Queensland,Cattle disposals - Local value ($),5290386727,5983703035,5389215099,6341350972,6081404803
Queensland,Sheep disposals - Local value ($),16725915,20619974,17457441,17226449,13032823
Queensland,Pig disposals - Local value ($),277675432,351067041,334056128,353856010,384133097
Queensland,Poultry disposals - Local value ($),578982522,560481140,592262388,622445813,676669053
Queensland,All other livestock n.e.c. disposals - Local value ($) ,36407905,48127311,45526752,71867778,49614038
South Australia,Total disposals,1028793943,1079739430,1056275168,1067774834,997535358
South Australia,Cattle disposals - Local value ($),283079673,313169354,273619957,252782553,228004281
South Australia,Sheep disposals - Local value ($),479182155,459866188,457283294,473651536,428455237
South Australia,Pig disposals - Local value ($),266532115,306703888,325371917,341340745,341075840
South Australia,Poultry disposals - Local value ($),np,np,np,np,np
South Australia,All other livestock n.e.c. disposals - Local value ($) ,np,np,np,np,np
Western Australia,Total disposals,1416130762,1656469229,1624810879,1583460983,1756617024
Western Australia,Cattle disposals - Local value ($),749415062,815414351,845424224,944520646,955820999
Western Australia,Sheep disposals - Local value ($),502186259,635631123,559408817,638940337,557696153
Western Australia,Pig disposals - Local value ($),164529441,205423755,219977838,np,243099872
Western Australia,Poultry disposals - Local value ($),np,np,np,np,np
Western Australia,All other livestock n.e.c. disposals - Local value ($) ,np,np,np,np,np
Tasmania,Total disposals,364438527,405457290,480469027,485523760,538195268
Tasmania,Cattle disposals - Local value ($),313260097,354329990,384081936,432550213,415821637
Tasmania,Sheep disposals - Local value ($),44519426,44479486,40790955,52973547,60432074
Tasmania,Pig disposals - Local value ($),6659004,6647814,5819467,np,7335622
Tasmania,Poultry disposals - Local value ($),np,np,49763697,np,54593187
Tasmania,All other livestock n.e.c. disposals - Local value ($) ,np,np,12972,np,12748
Northern Territory,Total disposals,577709014,712000040,544967499,439734061,374348574
Northern Territory,Cattle disposals - Local value ($),551017270,683382402,523507338,411581233,345430463
Northern Territory,All other livestock n.e.c. disposals - Local value ($) ,26691744,28617638,21460161,28152828,28918111
Australian Capital Territory,Total disposals,3797981,4020454,4996883,8190809,5667517
Australian Capital Territory,Cattle disposals - Local value ($),1869484,1654002,2413870,3474851,2966588
Australian Capital Territory,Sheep disposals - Local value ($),1626309,1906455,1485771,3582844,1490982
Australian Capital Territory,Poultry disposals - Local value ($),302188,459997,1097242,1133114,1209947
